A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
3456.0,-0.669000724,-1.704848826,-1.137010821,1.882413593,-0.980696331,0.580063486,-1.722186761,bad
1807.0,0.592633699,-1.984234579,2.066481712,2.263876936,1.231236694,0.931218678,-0.505211353,good
1799.0,-1.622327961,2.266139387,-0.260213124,0.881820456,1.834090041,-1.351047006,2.706358361,bad
3548.0,-0.67343172,1.902373224,-0.868918048,-0.964471121,-0.915969836,2.003425952,-0.148094755,good
2794.0,1.199354705,-0.531043677,-0.482361942,0.774324913,0.454934469,1.937691959,-1.10912618,good
2020.0,1.164775257,-2.340639029,-0.490882946,2.896870727,0.86353698,2.694133866,-0.20164097,good
2710.0,1.221014255,-1.226663418,-1.840729955,1.196333107,1.404878588,-0.514063959,1.018572989,bad
1262.0,1.903819259,-0.458505471,-0.35203699,-2.088434066,4.748125152,-0.799091855,2.377949333,good
213.0,-0.592137016,-0.062311514,-0.523055298,2.13743587,3.075803941,-0.347275147,-3.045678368,good
1435.0,1.802742024,0.166321146,-2.353345145,-0.191536497,1.973743448,-2.760895086,0.826550768,bad
2961.0,-2.261672404,-0.810398929,3.523334012,-0.567024704,-0.689129281,0.355311652,0.432000061,bad
3630.0,1.62467996,-1.832174211,-3.455343921,1.607084729,0.276397874,3.290654055,-2.109832124,bad
1203.0,-1.328020928,-3.509870459,1.180194689,1.844718905,-2.361462229,-0.453975743,-3.13052801,bad
3343.0,-1.221547292,-0.784626396,1.161443717,1.729885644,-0.236811821,0.027830642,0.406387122,bad
1761.0,-2.159711414,-3.023537007,-1.391037082,-0.92222287,0.840200859,1.061032023,5.05127048,bad
2118.0,-0.799235753,-1.0586878,-2.448060515,-1.491060438,5.794131442,-0.32507994,2.309399752,bad
798.0,-1.920002717,-1.921485556,0.695241953,0.390592344,-0.765199465,1.04654673,-2.087742829,bad
1507.0,0.426967499,-3.72667673,-1.152727355,1.555085995,0.883857799,-0.832537761,0.609528381,good
3170.0,0.003216373,2.264157489,-1.134655762,2.252035365,-1.273472123,-1.636350877,0.874231935,good
188.0,-2.65336393,-1.616297644,2.625948508,0.195550555,2.423620841,-0.194978796,-3.940779763,good
291.0,-0.886137099,-1.125871684,-0.291209868,2.596016198,1.279572658,1.261763337,0.328405811,good
3760.0,3.338941079,2.501791012,-3.325553957,0.238513015,1.251663502,1.021681132,0.995985405,good
2620.0,0.474491143,1.411091154,-1.752158409,1.299090803,-1.504099733,0.49557837,2.392864652,bad
1942.0,1.305605876,-1.204641425,0.288752743,0.806546347,-0.406499813,-1.020094813,1.500926927,good
370.0,1.469421344,-1.341061775,1.450817239,1.748870042,2.422876473,-3.065933713,2.157878307,good
1412.0,-0.736572868,2.541001183,-0.305827054,1.876692095,2.840588254,-3.8581528,1.271769835,good
2351.0,1.254202064,0.620343539,-0.987542059,2.381111335,0.657659364,-1.376908057,2.114409958,good
2781.0,-3.457545113,-2.433908381,-2.407719733,1.567143712,-1.940697322,2.181587182,-3.584126728,bad
437.0,-0.306895676,-0.589711476,0.196903416,1.303502111,0.01103504,-0.443880755,-0.622331787,bad
1530.0,-0.313170015,-2.375774774,-0.550606494,2.367698655,1.464699381,-2.760225318,-1.383503368,good
367.0,3.284414316,-4.159538202,-2.26108475,0.159527227,-0.861255751,2.510889581,1.39885364,good
179.0,0.443371969,-2.637919054,0.319253124,2.622455078,2.551202269,1.188443399,-1.01323595,good
2811.0,-0.213439303,1.35531185,-1.929801622,0.587725798,1.410540876,1.79251144,1.482428335,bad
155.0,-3.918492,-0.289518756,2.678073186,-1.298396226,0.766755063,0.360116105,-2.206017085,good
937.0,-1.848506502,-1.762635081,-0.935232191,0.303709041,-1.094395254,2.633336734,-1.474869921,bad
1720.0,1.800419707,-2.447155549,-0.999294678,0.929978776,0.355335496,-0.050020204,0.812995828,good
3116.0,0.539055893,-3.805667483,2.723953575,1.27112836,0.554292284,2.554438013,-2.047689391,good
3838.0,0.222233593,-1.8483876,-3.7765588,-0.177907838,3.329203086,1.71531921,2.67598861,bad
2541.0,-3.824104179,-0.653506493,2.017481112,-0.650462417,-0.267903409,-3.810386842,-0.293752288,good
1865.0,0.108759953,-1.945531991,0.274103259,0.327996492,-2.26976476,0.158132888,-1.611753292,bad
614.0,-0.605394525,0.520954496,-0.861903006,-0.715698623,-3.462401397,0.444729417,0.52098068,bad
1582.0,1.391706334,-2.04678943,-0.451347973,2.893526096,0.85005409,2.250140932,-0.264234402,good
663.0,-0.430075772,1.20266844,-1.615308225,2.318176884,-5.801766241,-1.330321347,2.573083876,bad
3512.0,-0.967935598,-2.874375372,-1.193722746,0.603789085,-0.122782626,-1.383236884,-2.365989395,good
845.0,-1.55343846,0.657055442,-2.956942332,-0.160108301,1.891135484,2.784584769,-0.751640827,bad
1211.0,-3.059858261,-1.133093422,2.58719443,-0.501808301,1.687013732,0.536824052,-1.396166003,good
3128.0,-2.667137449,-2.424014822,3.665266986,-0.208855461,1.162848742,1.022678472,0.091921632,good
3707.0,1.237467716,-3.653573163,-1.406557037,0.723784547,-3.468093242,0.061522535,-4.311281608,bad
3846.0,-0.380778342,-2.505774746,-2.58186292,0.294633688,3.468443628,2.277528728,3.447199193,bad
3151.0,-2.451890873,0.479923699,-0.186550918,1.473205478,0.690804719,0.250999907,-0.247542181,good
3308.0,-2.162178751,-1.337456735,1.809359916,0.926541854,3.453820296,-1.411285921,-3.999915065,good
1666.0,-2.136025711,-0.333469256,0.332259225,1.535165591,1.590917482,1.204228027,3.03179765,good
3340.0,1.991509172,-1.886054744,-0.635264413,4.097846712,-4.423746796,-2.836671248,-0.431719785,bad
1096.0,-0.930772193,-1.130286058,1.215034583,-0.592831471,-1.575230997,0.259948342,-1.200659973,bad
538.0,-3.308436875,1.569101145,2.912392624,-1.379048102,0.89730116,-1.421308238,-3.997326959,good
1767.0,0.609021985,-3.305067132,3.280216542,1.901275642,-0.020360628,2.464098786,3.096691118,good
2545.0,1.141353623,-0.514794974,0.628424312,-2.070047317,2.503568766,-0.48229007,3.831942983,good
67.0,-1.569763886,1.059864965,1.518880096,1.666096276,3.068931353,-1.48035112,2.769458608,bad
1228.0,1.127844829,-2.29010015,-2.121897035,3.136958164,0.168732202,-0.872945837,0.364630565,good
106.0,-0.725181296,-1.447133711,1.840994287,3.086182479,2.229221836,0.555091226,3.040761752,good
2993.0,-1.83843169,-1.186596296,-4.037844783,1.292917036,1.808180985,4.03251862,0.249018548,bad
347.0,-1.107686442,0.419847179,-0.784379937,0.489854092,4.140065941,2.333638481,-1.815198368,bad
3518.0,-2.749660963,2.162760065,-0.875878495,-0.082706499,1.753561366,-0.773796446,-5.10061664,good
3986.0,1.814401033,-1.461634618,-2.514538571,2.975837713,-1.109729859,-0.631429024,-2.793807727,good
804.0,-0.276871875,-1.280344096,1.377729536,-0.607729727,-1.349679892,2.68824004,-0.058599695,good
3405.0,2.285058014,-2.401362129,-1.918880784,0.039509317,2.393542261,-0.085040676,-0.369305737,good
296.0,-1.415645615,-0.948497907,-0.63834242,1.537135066,1.631884351,0.143543317,3.256333414,bad
1548.0,2.636565355,-4.309901985,-2.073538243,-1.87086332,2.514141306,1.734815188,0.752009811,good
3178.0,1.125194675,-1.77412658,-0.046433916,-0.21640012,0.848118378,-0.634874263,1.746986998,good
545.0,-0.264935562,-0.623333223,-1.731227251,1.366688546,-1.781640647,1.123858306,-0.205165577,bad
2565.0,-3.360412933,-0.84755932,3.071638235,1.879767159,0.547999975,0.170468918,0.841770053,bad
913.0,-1.423470887,-0.205003694,-0.023427374,1.218013103,-3.133455532,0.631300209,1.367064815,bad
1235.0,0.573690472,-0.240441492,-4.039749149,2.889477781,-1.155237455,1.700776918,0.822411546,bad
3801.0,-2.009013362,-0.613284173,-0.779701197,0.525293507,0.125646678,-0.336268755,2.476398328,bad
2130.0,0.112633012,-1.004231467,-0.924331017,3.033640552,0.189144141,1.914676724,0.837869179,good
1742.0,0.81374662,-1.965449391,-0.714363169,-0.297743704,-0.259957578,0.1046596,1.659750865,good
112.0,1.051510414,-4.311975447,-1.399048336,-2.791214794,4.268753723,0.501451971,1.61098811,good
373.0,-0.972952656,1.926233331,-0.979577311,-1.134247362,0.510836697,-1.417999466,-0.101724645,good
3083.0,0.002626953,-1.048111588,-2.290952504,-0.232486653,2.029042557,2.401858963,-2.469547062,bad
520.0,3.008494403,-1.372118888,-1.65765908,1.490543757,-1.534552435,1.01013167,0.348479388,good
2652.0,0.539205193,1.388178569,-5.118947886,1.373393912,-2.120745498,1.542073973,-1.894868531,good
3112.0,-2.4241362,-2.414256283,-1.465238605,1.382509359,2.574106364,3.466150929,1.105971772,bad
352.0,1.27449636,-2.511492325,0.382559723,2.715172739,-0.288362936,2.283241726,1.501072134,good
668.0,1.46580644,-2.775201154,0.992623546,1.50192063,-1.440469112,3.638384588,0.352908697,good
3978.0,-1.971622595,1.828699509,-1.787126015,0.963285964,-0.300505594,-2.202798075,-2.072508474,good
1073.0,-0.124904692,-2.291856932,0.954402632,1.012762494,-0.670690173,2.147549701,-1.419024768,good
2179.0,-2.567027949,-0.538892111,2.661353251,0.434470196,0.048949287,-0.023129717,-0.603270824,good
618.0,2.622579451,-0.727552063,-5.079902284,1.234847267,0.450370867,1.793746231,-1.725885201,good
3674.0,-0.863086673,-0.759133573,-0.683856552,0.031125912,-1.671518145,1.262743446,-0.568033409,bad
226.0,0.585207822,-1.480399294,-1.530431723,1.59253166,0.2212905,-0.046626258,1.508887162,bad
145.0,-3.570020052,-1.557671942,0.397887599,0.287215334,4.264960529,1.046411866,4.21395771,bad
3682.0,-0.813357163,1.720143421,0.698080042,0.631219087,-1.510805676,-0.672179493,2.575010153,bad
853.0,-0.433219304,-2.916016815,1.182532618,0.580386757,0.276184891,3.216621611,-0.81558716,good
3272.0,-2.126544814,-0.006764439,-2.156872686,1.947057184,0.303433969,2.80110413,0.955717019,bad
134.0,0.132455297,-3.037876516,-2.464537418,1.619229919,0.300120344,2.110550784,-3.408117425,bad
3230.0,-0.157915527,0.323806904,-0.893337848,-0.06155364,1.29032277,0.766925266,-5.236625293,good
3086.0,-2.886912255,-0.162562134,0.932929631,0.282211535,0.938408376,0.523649736,-2.546855975,good
2197.0,0.905023916,-0.614958583,-0.252101135,0.612676885,2.457078051,0.052657308,-2.492708194,bad
1771.0,-1.446351236,-1.505439194,0.805553132,0.593896012,1.438263719,1.039642309,-1.931833592,good
87.0,0.523551092,-0.785293429,0.307177459,-0.773882387,1.220446256,-1.329702358,1.355485212,good
1779.0,-1.426836438,-2.892326756,3.119169951,1.54644751,2.53180314,0.741325051,-2.178295845,good
3943.0,-0.865684489,-4.366864964,2.599850387,1.623674175,3.183761269,1.392612319,-1.015782155,good
328.0,3.038895908,-2.665843657,-1.490830721,2.806737521,3.200184447,-1.194293931,1.686512224,good
1210.0,-0.016624055,0.380198042,-1.510938372,1.756055388,1.646458161,2.25479157,1.906740297,bad
3925.0,-1.612076618,-1.554690219,2.250267144,-0.155060237,-1.435861879,2.38875471,-0.487297287,good
749.0,0.564192064,-0.591640455,-1.294808081,2.10753591,1.470738327,-1.610299873,1.986156356,good
2970.0,-2.188421884,-1.385229506,0.419799194,0.14293918,-0.360722433,0.055028718,-2.694542386,bad
1148.0,3.263620871,-2.120195132,-1.687950227,1.53192175,1.758370948,0.047135163,0.776321633,good
1786.0,-1.564766577,0.375636939,-1.96633904,-0.30186462,0.17364018,2.176914859,-0.56257843,bad
1026.0,-1.39487577,-2.155463832,-2.937887402,2.307469858,-0.940956308,1.328301132,-3.125420729,bad
1597.0,2.362357983,0.614849067,-2.339010538,-1.616023001,2.540068818,0.924703838,2.388514589,good
3106.0,-0.124659043,-0.887231349,-1.626181345,1.3629989,-0.275989211,-1.051163227,-0.06847672,good
2604.0,-0.446196507,-2.524046646,-3.290392052,0.456225621,2.693585458,3.359012021,0.894756027,bad
1209.0,-1.87053341,-1.335990399,0.277939832,1.899510215,2.509132421,0.414078546,0.244161158,good
2622.0,-1.365908433,-0.462259054,-4.854861307,1.96336299,-2.614130827,0.343433887,-2.926853781,bad
2761.0,2.37665299,0.311595955,-2.538913632,2.667336844,-0.340786183,-1.18155394,-0.058448189,bad
1705.0,0.455101465,-3.034452514,-1.404873844,0.598912183,1.433145835,-0.822855045,-0.453107702,good
1268.0,-0.736699243,-1.878103249,-0.918754219,1.222057173,2.157160544,-2.43248901,-0.841695386,good
1539.0,-1.781396019,0.703957281,-1.837885536,0.319482511,-0.863596792,1.694998534,0.71993501,bad
1407.0,-1.345353371,-1.095134402,-0.301263003,0.960030898,-0.235339677,0.810633381,-1.018861092,bad
1468.0,1.710591444,-3.071098533,1.688526149,2.046596612,1.199406883,1.398974425,-2.910651105,good
867.0,0.47047684,-2.127997995,-0.509164344,-2.32409399,3.058286118,-0.48845787,0.517261001,good
2503.0,1.176184455,0.384985062,-0.054683432,0.117878962,0.565895687,-4.605001995,3.991795286,bad
3712.0,-1.959698175,-1.673449832,3.165718762,-0.262965452,0.829822614,1.219801259,-2.146420065,good
486.0,-1.715865191,-1.358110131,-0.692590268,0.96165294,2.959096382,2.923618275,-0.43826909,bad
1383.0,0.475240896,-1.833409034,2.565566838,2.456610228,-4.196405189,-3.164642477,-0.052965085,bad
